site_id,fold,method,window_days,true_full_category,assigned_category,category_correct,rmse,mae,bias
site_29,3,distance,60,1,0,False,13.103256247417388,12.051914286756464,11.820651340307677
site_43,3,distance,60,1,2,False,13.597956855343622,11.809736851280844,10.92048855970288
site_47,3,distance,60,1,0,False,9.991847281920165,8.271776784057257,6.325108204409786
site_63,3,distance,60,1,4,False,18.56956100909155,15.864314363582219,8.284434704493323
site_67,3,distance,60,5,5,True,12.311525532203003,10.465037643304424,10.079929096013007
site_69,3,distance,60,5,5,True,14.40053705851032,12.668816733316342,11.777866494533596
site_70,3,distance,60,1,4,False,14.373003556268827,12.00909311714041,10.429935311450265
site_89,3,distance,60,0,0,True,19.672206125073256,19.106637508369772,19.106637508369772
site_135,4,distance,60,0,0,True,20.28579071748966,18.264864441876863,18.155944196690193
site_39,4,distance,60,1,0,False,7.751667647525366,6.352788347402639,2.690513832097932
site_46,4,distance,60,0,0,True,26.53336092740513,24.39068864866763,24.110688716731975
site_51,4,distance,60,1,0,False,12.856695205285872,10.11399717285729,1.1121584033913812
site_62,4,distance,60,0,0,True,21.371896189338937,20.41600650265375,20.41600650265375
site_65,4,distance,60,0,0,True,6.535472011513655,5.026388335989591,3.29333191139629
site_68,4,distance,60,4,5,False,17.928612717065487,15.450693463587227,14.405384473714175
site_76,4,distance,60,0,4,False,31.822919257098672,30.358168841432803,30.347903453393716
site_44,5,distance,60,2,2,True,19.012070559288503,16.63219935307932,16.554284849605143
site_48,5,distance,60,2,2,True,27.494474345249486,25.696718109953412,25.696718109953412
site_52,5,distance,60,1,2,False,22.769349669670888,20.468217078153252,19.55483189378206
site_61,5,distance,60,5,2,False,27.203611941981762,24.29649350615881,-7.773132926608761
site_71,5,distance,60,4,3,False,19.041398056295463,17.497287413991685,17.12940577848827
site_72,5,distance,60,5,5,True,15.709817672801044,11.985335302146165,4.568844041146428
site_74,5,distance,60,2,4,False,29.61138385522236,28.18875223877612,27.91105868460521
site_91,5,distance,60,2,2,True,10.6253289106976,6.504243907856159,5.106846630660657
site_35,1,soft,60,5,1,False,10.288910508772165,8.281476417613558,3.282680062687071
site_36,1,soft,60,0,1,False,16.13640286106066,13.628160262990079,8.730145229087425
site_45,1,soft,60,3,3,True,13.381950044760298,10.082118199435957,3.2340271166480745
site_54,1,soft,60,3,1,False,18.55069204256976,14.987145900682103,-14.116970926637023
site_57,1,soft,60,5,1,False,14.703422738704406,11.014702247604928,-5.460014379122607
site_66,1,soft,60,5,3,False,13.67497800527938,12.86016096661795,12.70107008201329
site_79,1,soft,60,4,0,False,10.120132292354704,8.964626074252227,8.681674491159493
site_26,2,soft,60,3,4,False,7.693654639465609,6.604683493813018,5.041167236271779
site_49,2,soft,60,3,4,False,9.345892335635963,8.150746318112775,7.355012660009116
site_53,2,soft,60,2,4,False,13.593558996725928,10.64825360456158,-9.518560654506132
site_58,2,soft,60,4,4,True,15.085521203429407,11.16107368774979,-5.860892164982502
site_59,2,soft,60,4,4,True,21.6502862649403,15.651994884218873,-10.812397448491367
site_60,2,soft,60,1,1,True,8.784974195043407,6.607621116388095,0.054772765660596315
site_64,2,soft,60,4,4,True,16.02182293530932,13.563592274180946,10.191242741910159
site_88,2,soft,60,3,0,False,5.687160666709891,4.943009908061422,3.659675406325731
site_29,3,soft,60,1,0,False,11.925393786295597,10.755174227705977,10.367100788982208
site_43,3,soft,60,1,2,False,10.176864028178384,8.672660866613208,6.358937404908385
site_47,3,soft,60,1,0,False,8.100375655033961,6.479799525104822,2.3048592307146714
site_63,3,soft,60,1,4,False,17.362342289797613,14.414234448741887,9.310918761861478
site_67,3,soft,60,5,5,True,13.307694808214393,11.639155218605206,11.375940402924824
site_69,3,soft,60,5,5,True,12.78156842359969,11.18792583423061,10.470065782502784
site_70,3,soft,60,1,4,False,9.81165761469902,8.136644320425786,6.0046188742418005
